FunctionName, RelativePath,NumberOfBugs
execute_command_internal, bash-4.2\execute_cmd.h, 0
execute_shell_function, bash-4.2\execute_cmd.c, 0
executing_line_number, bash-4.2\execute_cmd.c, 0
new_fd_bitmap, bash-4.2\execute_cmd.c, 0
setup_async_signals, bash-4.2\execute_cmd.h, 0
shell_execve, bash-4.2\execute_cmd.h, 0
rl_clear_pending_input, bash-4.2\lib\readline\input.c, 0
rl_forced_update_display, bash-4.2\lib\readline\display.c, 0
_rl_replace_text, bash-4.2\lib\readline\text.c, 0
_rl_reset_argument, bash-4.2\lib\readline\misc.c, 0
_rl_set_the_line, bash-4.2\lib\readline\readline.c, 0
strerror, bash-4.2\lib\sh\strerror.c, 0
_rl_digit_p, bash-4.2\lib\readline\util.c, 0
_rl_digit_value, bash-4.2\lib\readline\util.c, 0
_rl_lowercase_p, bash-4.2\lib\readline\util.c, 0
_rl_null_function, bash-4.2\lib\readline\util.c, 0
_rl_pure_alphabetic, bash-4.2\lib\readline\util.c, 0
_rl_qsort_string_compare, bash-4.2\lib\readline\util.c, 0
_rl_savestring, bash-4.2\lib\readline\util.c, 0
_rl_strindex, bash-4.2\lib\readline\util.c, 0
_rl_to_lower, bash-4.2\lib\readline\util.c, 0
_rl_to_upper, bash-4.2\lib\readline\util.c, 0
_rl_ttymsg, bash-4.2\lib\readline\util.c, 0
_rl_uppercase_p, bash-4.2\lib\readline\util.c, 0
rl_abort, bash-4.2\lib\readline\util.c, 0
rl_alphabetic, bash-4.2\lib\readline\util.c, 0
rl_copy_text, bash-4.2\lib\readline\util.c, 0
rl_extend_line_buffer, bash-4.2\lib\readline\util.c, 0
rl_free, bash-4.2\lib\readline\util.c, 0
rl_tty_status, bash-4.2\lib\readline\util.c, 0
initialize_siglist, bash-4.2\siglist.c, 0
fcopy, bash-4.2\examples\loadables\cat.c, 0
get_current_prompt_level, bash-4.2\y.tab.c, 0
parse_command, bash-4.2\eval.c, 0
reset_parser, bash-4.2\y.tab.c, 0
set_current_prompt_level, bash-4.2\y.tab.c, 0
zcatfd, bash-4.2\lib\sh\zcatfd.c, 0
pop_stream, bash-4.2\y.tab.c, 0
push_stream, bash-4.2\y.tab.c, 0
with_input_from_string, bash-4.2\y.tab.c, 0
redirection_error, bash-4.2\redir.c, 0
redirection_expand, bash-4.2\redir.h, 0
jump_to_top_level, bash-4.2\sig.h, 0
run_trap_cleanup, bash-4.2\trap.c, 0
add_unwind_protect, bash-4.2\unwind_prot.h, 0
begin_unwind_frame, bash-4.2\unwind_prot.c, 0
discard_unwind_frame, bash-4.2\unwind_prot.c, 0
have_unwind_protects, bash-4.2\unwind_prot.c, 0
run_unwind_frame, bash-4.2\unwind_prot.c, 0
unwind_protect_mem, bash-4.2\unwind_prot.c, 0
cat_file, bash-4.2\builtins\evalstring.c, 0
parse_and_execute, bash-4.2\builtins\evalstring.c, 0
parse_and_execute_cleanup, bash-4.2\builtins\evalstring.c, 0
parse_prologue, bash-4.2\builtins\evalstring.c, 0
parse_string, bash-4.2\builtins\evalstring.c, 0
get_current_user_info, bash-4.2\shell.c, 0
whoami_builtin, bash-4.2\examples\loadables\whoami.c, 0
cat_builtin, bash-4.2\examples\loadables\cat.c, 0
cat_main, bash-4.2\examples\loadables\cat.c, 0
fatal_error, bash-4.2\CWRU\misc\errlist.c, 0
make_builtin_argv, bash-4.2\builtins\common.c, 0
rl_backward_char_search, bash-4.2\lib\readline\text.c, 0
rl_backward_kill_line, bash-4.2\lib\readline\readline.h, 0
rl_backward_kill_word, bash-4.2\lib\readline\readline.h, 0
rl_backward_word, bash-4.2\lib\readline\readline.h, 0
rl_capitalize_word, bash-4.2\lib\readline\text.c, 0
rl_char_search, bash-4.2\lib\readline\text.c, 0
rl_clear_screen, bash-4.2\lib\readline\text.c, 0
rl_delete, bash-4.2\lib\readline\readline.h, 0
rl_delete_horizontal_space, bash-4.2\lib\readline\text.c, 0
rl_do_lowercase_version, bash-4.2\lib\readline\text.c, 0
rl_downcase_word, bash-4.2\lib\readline\text.c, 0
rl_end_of_history, bash-4.2\lib\readline\misc.c, 0
rl_exchange_point_and_mark, bash-4.2\lib\readline\text.c, 0
rl_forward_search_history, bash-4.2\lib\readline\isearch.c, 0
rl_forward_word, bash-4.2\lib\readline\text.c, 0
rl_get_next_history, bash-4.2\lib\readline\misc.c, 0
rl_insert_comment, bash-4.2\lib\readline\text.c, 0
rl_insert_completions, bash-4.2\lib\readline\complete.c, 0
rl_kill_line, bash-4.2\lib\readline\kill.c, 0
rl_kill_word, bash-4.2\lib\readline\kill.c, 0
rl_possible_completions, bash-4.2\lib\readline\complete.c, 0
rl_quoted_insert, bash-4.2\lib\readline\text.c, 0
rl_re_read_init_file, bash-4.2\lib\readline\bind.c, 0
rl_reverse_search_history, bash-4.2\lib\readline\isearch.c, 0
rl_revert_line, bash-4.2\lib\readline\undo.c, 0
rl_set_mark, bash-4.2\lib\readline\text.c, 0
rl_tab_insert, bash-4.2\lib\readline\text.c, 0
rl_transpose_chars, bash-4.2\lib\readline\text.c, 0
rl_transpose_words, bash-4.2\lib\readline\text.c, 0
rl_unix_line_discard, bash-4.2\lib\readline\kill.c, 0
rl_unix_word_rubout, bash-4.2\lib\readline\kill.c, 0
rl_upcase_word, bash-4.2\lib\readline\text.c, 0
rl_vi_editing_mode, bash-4.2\lib\readline\misc.c, 0
rl_yank_last_arg, bash-4.2\lib\readline\kill.c, 0
rl_yank_pop, bash-4.2\lib\readline\kill.c, 0
assign_mypid, bash-4.2\examples\loadables\mypid.c, 0
enable_mypid_builtin, bash-4.2\examples\loadables\mypid.c, 0
get_mypid, bash-4.2\examples\loadables\mypid.c, 0
plural_eval, bash-4.2\lib\intl\eval-plural.h, 0
SWAP, bash-4.2\lib\intl\gettextP.h, 0
_nl_find_domain, bash-4.2\lib\intl\finddomain.c, 0
_nl_find_msg, bash-4.2\lib\intl\gettextP.h, 0
_nl_load_domain, bash-4.2\lib\intl\loadmsgcat.c, 0
_nl_locale_name, bash-4.2\lib\intl\localename.c, 0
hash_string, bash-4.2\lib\intl\hash-string.h, 0
_nl_log_untranslated, bash-4.2\lib\intl\log.c, 0
category_to_name, bash-4.2\lib\intl\dcigettext.c, 0
guess_category_value, bash-4.2\lib\intl\dcigettext.c, 0
libintl_dcigettext, bash-4.2\lib\intl\dcigettext.c, 0
mempcpy, bash-4.2\lib\intl\dcigettext.c, 0
plural_lookup, bash-4.2\lib\intl\dcigettext.c, 0
stop_pipeline, bash-4.2\jobs.c, 0
strmatch, bash-4.2\lib\glob\strmatch.c, 0
xstrmatch, bash-4.2\lib\glob\smatch.c, 0
binary_test, bash-4.2\test.c, 0
test_binop, bash-4.2\test.h, 0
test_command, bash-4.2\test.c, 0
test_unop, bash-4.2\test.h, 0
unary_test, bash-4.2\test.h, 0
err_unboundvar, bash-4.2\error.c, 0
internal_error, bash-4.2\error.c, 0
top_level_cleanup, bash-4.2\sig.c, 0
bind_int_variable, bash-4.2\variables.c, 0
find_variable, bash-4.2\variables.h, 0
get_variable_value, bash-4.2\variables.c, 0
stupidly_hack_special_variables, bash-4.2\variables.h, 0
_is_arithop, bash-4.2\expr.c, 0
_is_multiop, bash-4.2\expr.c, 0
alloc_lvalue, bash-4.2\expr.c, 0
evalerror, bash-4.2\expr.c, 0
evalexp, bash-4.2\expr.c, 0
exp0, bash-4.2\expr.c, 0
exp1, bash-4.2\expr.c, 0
exp2, bash-4.2\expr.c, 1
exp3, bash-4.2\expr.c, 0
exp4, bash-4.2\expr.c, 0
exp5, bash-4.2\expr.c, 0
expassign, bash-4.2\expr.c, 2
expband, bash-4.2\expr.c, 0
expbor, bash-4.2\expr.c, 0
expbxor, bash-4.2\expr.c, 0
expcomma, bash-4.2\expr.c, 0
expcond, bash-4.2\expr.c, 0
expland, bash-4.2\expr.c, 0
explor, bash-4.2\expr.c, 0
exppower, bash-4.2\expr.c, 0
expr_bind_array_element, bash-4.2\expr.c, 0
expr_bind_variable, bash-4.2\expr.c, 0
expr_streval, bash-4.2\expr.c, 1
expr_unwind, bash-4.2\expr.c, 0
expshift, bash-4.2\expr.c, 0
free_lvalue, bash-4.2\expr.c, 0
init_lvalue, bash-4.2\expr.c, 0
popexp, bash-4.2\expr.c, 0
pushexp, bash-4.2\expr.c, 0
readtok, bash-4.2\expr.c, 1
strlong, bash-4.2\expr.c, 0
subexpr, bash-4.2\expr.c, 0
libintl_dcngettext, bash-4.2\lib\intl\dcngettext.c, 0
dup2, bash-4.2\lib\sh\oslib.c, 0
getdtablesize, bash-4.2\externs.h, 0
getmaxgroups, bash-4.2\lib\sh\oslib.c, 0
substring, bash-4.2\stringlib.c, 0
absolute_pathname, bash-4.2\general.c, 0
all_digits, bash-4.2\general.c, 0
assignment, bash-4.2\general.c, 0
base_pathname, bash-4.2\general.c, 0
bash_special_tilde_expansions, bash-4.2\general.c, 0
bash_tilde_find_word, bash-4.2\general.c, 0
check_binary_file, bash-4.2\general.c, 0
check_dev_tty, bash-4.2\general.c, 0
check_identifier, bash-4.2\general.c, 0
dot_or_dotdot, bash-4.2\general.c, 0
fd_ispipe, bash-4.2\general.c, 0
file_exists, bash-4.2\general.c, 0
file_isdir, bash-4.2\general.c, 0
file_iswdir, bash-4.2\general.c, 0
get_group_array, bash-4.2\general.c, 0
get_group_list, bash-4.2\general.c, 0
initialize_group_array, bash-4.2\general.c, 0
legal_alias_name, bash-4.2\general.c, 0
legal_identifier, bash-4.2\general.c, 0
make_absolute, bash-4.2\general.c, 0
move_to_high_fd, bash-4.2\general.c, 0
polite_directory_format, bash-4.2\general.c, 0
posix_initialize, bash-4.2\general.c, 0
sh_closepipe, bash-4.2\general.c, 0
sh_openpipe, bash-4.2\general.c, 0
sh_validfd, bash-4.2\general.c, 0
tilde_initialize, bash-4.2\general.c, 0
trim_pathname, bash-4.2\general.c, 1
unquoted_tilde_word, bash-4.2\general.c, 0
history_search, bash-4.2\lib\readline\histsearch.c, 0
history_search_internal, bash-4.2\lib\readline\histsearch.c, 0
history_search_pos, bash-4.2\lib\readline\histsearch.c, 0
history_search_prefix, bash-4.2\lib\readline\histsearch.c, 0
libintl_ngettext, bash-4.2\lib\intl\ngettext.c, 0
hello_builtin, bash-4.2\examples\loadables\hello.c, 0
libintl_dcgettext, bash-4.2\lib\intl\dcgettext.c, 0
libintl_gettext, bash-4.2\lib\intl\gettext.c, 0
get_clk_tck, bash-4.2\lib\sh\clktck.c, 0
times, bash-4.2\lib\sh\times.c, 0
ansic_quote, bash-4.2\lib\sh\strtrans.c, 0
ansic_shouldquote, bash-4.2\lib\sh\strtrans.c, 0
ansicstr, bash-4.2\lib\sh\strtrans.c, 0
ansiexpand, bash-4.2\lib\sh\strtrans.c, 0
tilde_expand, bash-4.2\lib\readline\tilde.c, 0
get_tty_state, bash-4.2\jobs.c, 0
initialize_job_signals, bash-4.2\jobs.c, 0
set_tty_state, bash-4.2\jobs.c, 0
sh_get_env_value, bash-4.2\variables.c, 0
tilde_expand_word, bash-4.2\lib\readline\tilde.h, 0
tilde_find_prefix, bash-4.2\lib\readline\tilde.c, 0
add_or_supercede_exported_var, bash-4.2\variables.c, 0
adjust_shell_level, bash-4.2\variables.c, 0
all_exported_variables, bash-4.2\variables.c, 0
all_local_variables, bash-4.2\variables.c, 0
all_shell_functions, bash-4.2\variables.c, 0
all_shell_variables, bash-4.2\variables.c, 0
all_variables_matching_prefix, bash-4.2\variables.c, 0
all_visible_functions, bash-4.2\variables.c, 0
all_visible_variables, bash-4.2\variables.c, 0
assign_in_env, bash-4.2\variables.c, 0
bind_function, bash-4.2\variables.c, 0
bind_variable_value, bash-4.2\variables.c, 0
delete_all_contexts, bash-4.2\variables.c, 0
delete_all_variables, bash-4.2\variables.h, 0
dispose_saved_dollar_vars, bash-4.2\variables.c, 0
dispose_used_env_vars, bash-4.2\variables.c, 0
dispose_var_context, bash-4.2\variables.c, 0
dispose_variable, bash-4.2\variables.c, 0
find_function, bash-4.2\variables.h, 0
find_function_def, bash-4.2\variables.c, 0
find_global_variable, bash-4.2\variables.c, 0
find_tempenv_variable, bash-4.2\variables.c, 0
get_random_number, bash-4.2\variables.c, 0
initialize_shell_variables, bash-4.2\variables.c, 0
kill_all_local_variables, bash-4.2\variables.c, 0
local_exported_variables, bash-4.2\variables.c, 0
make_funcname_visible, bash-4.2\variables.c, 0
make_local_variable, bash-4.2\variables.c, 0
make_variable_value, bash-4.2\variables.c, 0
makunbound, bash-4.2\variables.h, 0
map_over, bash-4.2\variables.c, 0
map_over_funcs, bash-4.2\variables.c, 0
maybe_make_export_env, bash-4.2\variables.h, 0
merge_temporary_env, bash-4.2\variables.c, 0
new_var_context, bash-4.2\variables.h, 0
pop_args, bash-4.2\variables.c, 0
pop_context, bash-4.2\variables.c, 0
pop_dollar_vars, bash-4.2\variables.h, 0
pop_scope, bash-4.2\variables.c, 0
pop_var_context, bash-4.2\variables.c, 0
print_assignment, bash-4.2\variables.h, 0
print_func_list, bash-4.2\variables.c, 0
print_var_function, bash-4.2\variables.h, 0
print_var_list, bash-4.2\variables.c, 0
print_var_value, bash-4.2\variables.h, 0
push_args, bash-4.2\variables.c, 0
push_context, bash-4.2\variables.c, 0
push_dollar_vars, bash-4.2\variables.h, 0
push_scope, bash-4.2\variables.c, 0
push_var_context, bash-4.2\variables.c, 0
put_command_name_into_env, bash-4.2\variables.c, 0
reinit_special_variables, bash-4.2\variables.c, 0
set_if_not, bash-4.2\variables.h, 0
set_pipestatus_from_exit, bash-4.2\variables.c, 0
set_ppid, bash-4.2\variables.h, 0
set_pwd, bash-4.2\variables.h, 0
set_var_read_only, bash-4.2\variables.c, 0
sh_get_home_dir, bash-4.2\variables.c, 0
sort_variables, bash-4.2\variables.c, 0
sv_funcnest, bash-4.2\variables.h, 0
sv_globignore, bash-4.2\variables.h, 0
sv_ifs, bash-4.2\variables.h, 0
sv_ignoreeof, bash-4.2\variables.h, 0
sv_locale, bash-4.2\variables.h, 0
sv_mail, bash-4.2\variables.h, 0
sv_opterr, bash-4.2\variables.h, 0
sv_optind, bash-4.2\variables.h, 0
sv_path, bash-4.2\variables.h, 0
sv_strict_posix, bash-4.2\variables.h, 0
sv_xtracefd, bash-4.2\variables.h, 0
unbind_func, bash-4.2\variables.c, 0
update_export_env_inplace, bash-4.2\variables.c, 0
var_lookup, bash-4.2\variables.c, 0
_rl_any_typein, bash-4.2\lib\readline\input.c, 0
_rl_arg_callback, bash-4.2\lib\readline\misc.c, 0
_rl_arg_init, bash-4.2\lib\readline\misc.c, 0
_rl_backspace, bash-4.2\lib\readline\terminal.c, 0
_rl_block_sigint, bash-4.2\lib\readline\signals.c, 0
_rl_block_sigwinch, bash-4.2\lib\readline\signals.c, 0
_rl_callback_data_dispose, bash-4.2\lib\readline\rlprivate.h, 0
_rl_clean_up_for_exit, bash-4.2\lib\readline\display.c, 0
_rl_clear_screen, bash-4.2\lib\readline\display.c, 0
_rl_clear_to_eol, bash-4.2\lib\readline\rlprivate.h, 0
_rl_control_keypad, bash-4.2\lib\readline\terminal.c, 0
_rl_copy_undo_entry, bash-4.2\lib\readline\undo.c, 0
_rl_copy_undo_list, bash-4.2\lib\readline\undo.c, 0
_rl_current_display_line, bash-4.2\lib\readline\display.c, 0
_rl_disable_tty_signals, bash-4.2\lib\readline\rltty.c, 0
_rl_dispatch_callback, bash-4.2\lib\readline\readline.c, 0
_rl_dispatch_subseq, bash-4.2\lib\readline\rlprivate.h, 0
_rl_enable_meta_key, bash-4.2\lib\readline\terminal.c, 0
_rl_enable_paren_matching, bash-4.2\lib\readline\parens.c, 0
_rl_erase_at_end_of_line, bash-4.2\lib\readline\display.c, 0
_rl_erase_entire_line, bash-4.2\lib\readline\display.c, 0
_rl_find_completion_word, bash-4.2\lib\readline\complete.c, 0
_rl_fix_last_undo_of_type, bash-4.2\lib\readline\undo.c, 0
_rl_fix_point, bash-4.2\lib\readline\text.c, 0
_rl_free_match_list, bash-4.2\lib\readline\complete.c, 0
_rl_get_screen_size, bash-4.2\lib\readline\terminal.c, 0
_rl_init_eightbit, bash-4.2\lib\readline\nls.c, 0
_rl_init_line_state, bash-4.2\lib\readline\readline.c, 0
_rl_init_terminal_io, bash-4.2\lib\readline\rlprivate.h, 0
_rl_input_available, bash-4.2\lib\readline\input.c, 0
_rl_input_queued, bash-4.2\lib\readline\input.c, 0
_rl_insert_typein, bash-4.2\lib\readline\input.c, 0
_rl_internal_char_cleanup, bash-4.2\lib\readline\readline.c, 0
_rl_isearch_callback, bash-4.2\lib\readline\isearch.c, 0
_rl_isearch_dispatch, bash-4.2\lib\readline\isearch.c, 0
_rl_keyseq_chain_dispose, bash-4.2\lib\readline\readline.c, 0
_rl_keyseq_cxt_alloc, bash-4.2\lib\readline\readline.c, 0
_rl_keyseq_cxt_dispose, bash-4.2\lib\readline\readline.c, 0
_rl_make_prompt_for_search, bash-4.2\lib\readline\display.c, 0
_rl_move_cursor_relative, bash-4.2\lib\readline\rlprivate.h, 0
_rl_move_vert, bash-4.2\lib\readline\rlprivate.h, 0
_rl_nsearch_callback, bash-4.2\lib\readline\search.c, 0
_rl_output_character_function, bash-4.2\lib\readline\terminal.c, 0
_rl_output_some_chars, bash-4.2\lib\readline\terminal.c, 0
_rl_overwrite_rubout, bash-4.2\lib\readline\text.c, 0
_rl_pushed_input_available, bash-4.2\lib\readline\input.c, 0
_rl_redisplay_after_sigwinch, bash-4.2\lib\readline\display.c, 0
_rl_release_sigint, bash-4.2\lib\readline\signals.c, 0
_rl_release_sigwinch, bash-4.2\lib\readline\signals.c, 0
_rl_reset_completion_state, bash-4.2\lib\readline\complete.c, 0
_rl_restore_tty_signals, bash-4.2\lib\readline\rltty.c, 0
_rl_revert_all_lines, bash-4.2\lib\readline\misc.c, 0
_rl_rubout_char, bash-4.2\lib\readline\rlprivate.h, 0
_rl_scxt_alloc, bash-4.2\lib\readline\isearch.c, 0
_rl_scxt_dispose, bash-4.2\lib\readline\isearch.c, 0
_rl_search_getchar, bash-4.2\lib\readline\isearch.c, 0
_rl_set_cursor, bash-4.2\lib\readline\terminal.c, 0
_rl_set_insert_mode, bash-4.2\lib\readline\rlprivate.h, 0
_rl_set_mark_at_pos, bash-4.2\lib\readline\text.c, 0
_rl_set_screen_size, bash-4.2\lib\readline\terminal.c, 0
_rl_signal_handler, bash-4.2\lib\readline\signals.c, 0
_rl_start_using_history, bash-4.2\lib\readline\misc.c, 0
_rl_strip_prompt, bash-4.2\lib\readline\display.c, 0
_rl_unget_char, bash-4.2\lib\readline\input.c, 0
_rl_update_final, bash-4.2\lib\readline\display.c, 0
readline_internal_char, bash-4.2\lib\readline\readline.c, 0
readline_internal_setup, bash-4.2\lib\readline\readline.c, 0
readline_internal_teardown, bash-4.2\lib\readline\readline.c, 0
rl_set_retained_kills, bash-4.2\lib\readline\kill.c, 0
zgetline, bash-4.2\lib\sh\zgetline.c, 0
get_charset_aliases, bash-4.2\lib\intl\localcharset.c, 0
falarm, bash-4.2\lib\sh\ufuncs.c, 0
fsleep, bash-4.2\lib\sh\ufuncs.c, 0
get_env_value, bash-4.2\lib\tilde\shell.c, 0
get_home_dir, bash-4.2\lib\tilde\shell.c, 0
rl_add_undo, bash-4.2\lib\readline\undo.c, 0
rl_backward_byte, bash-4.2\lib\readline\readline.h, 0
rl_character_len, bash-4.2\lib\readline\display.c, 0
rl_modifying, bash-4.2\lib\readline\undo.c, 0
_rl_char_search, bash-4.2\lib\readline\text.c, 0
_rl_char_search_callback, bash-4.2\lib\readline\text.c, 0
_rl_insert_next, bash-4.2\lib\readline\text.c, 0
_rl_insert_next_callback, bash-4.2\lib\readline\text.c, 0
rl_arrow_keys, bash-4.2\lib\readline\text.c, 0
rl_backward, bash-4.2\lib\readline\text.c, 0
rl_change_case, bash-4.2\lib\readline\text.c, 0
rl_delete_or_show_completions, bash-4.2\lib\readline\text.c, 0
rl_forward, bash-4.2\lib\readline\text.c, 0
rl_forward_byte, bash-4.2\lib\readline\text.c, 0
rl_refresh_line, bash-4.2\lib\readline\text.c, 0
rl_replace_line, bash-4.2\lib\readline\text.c, 0
rl_rubout_or_delete, bash-4.2\lib\readline\text.c, 0
rl_skip_csi_sequence, bash-4.2\lib\readline\text.c, 0
list_reverse, bash-4.2\list.c, 0
make_bare_word, bash-4.2\make_cmd.c, 0
make_word_list, bash-4.2\make_cmd.c, 0
copy_case_clause, bash-4.2\copy_cmd.c, 0
copy_case_clauses, bash-4.2\copy_cmd.c, 0
copy_case_command, bash-4.2\copy_cmd.c, 0
copy_coproc_command, bash-4.2\copy_cmd.c, 0
copy_for_command, bash-4.2\copy_cmd.c, 0
copy_group_command, bash-4.2\copy_cmd.c, 0
copy_if_command, bash-4.2\copy_cmd.c, 0
copy_simple_command, bash-4.2\copy_cmd.c, 0
copy_subshell_command, bash-4.2\copy_cmd.c, 0
copy_while_command, bash-4.2\copy_cmd.c, 0
print_word_list, bash-4.2\print_cmd.c, 0
necho_builtin, bash-4.2\examples\loadables\necho.c, 0
rl_backward_menu_complete, bash-4.2\lib\readline\readline.h, 0
rl_completion_matches, bash-4.2\lib\readline\readline.h, 0
rl_crlf, bash-4.2\lib\readline\terminal.c, 0
rl_filename_completion_function, bash-4.2\lib\readline\readline.h, 0
_rl_internal_pager, bash-4.2\lib\readline\complete.c, 0
append_to_match, bash-4.2\lib\readline\complete.c, 0
complete_fncmp, bash-4.2\lib\readline\complete.c, 0
